Type and size of medical resources - Pharmacies,Data Domain,Total number of care centers,Existence of nearby care centers - exists,Existence of health resources - exists,Town,Total number of first aid centers,Type and size of medical resources - Medical Centers,refArea,Observation URI,Percentage of towns with special needs indiciduals - Without special needs,Type and size of medical resources - Hospitals,Percentage of towns with special needs indiciduals - With special needs,publisher,Type and size of medical resources - Clinics,dataset,Existence of special needs care centers - exists,Type and size of medical resources - Labs and Radiology ,Existence of special needs care centers - does not exist,references,Existence of a first aid center - exists
0,,1,1,0,Aabrine,1,0,http://dbpedia.org/resource/Batroun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabrine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,2,1,0,Aachach,1,0,http://dbpedia.org/resource/Zgharta_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aachach,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aachqout,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aachqout,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
3,,1,1,1,Aadaysseh Marjaayoun,1,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadaysseh+Marjaayoun,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aadchit Ech-Chqif,0,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadchit+Ech-Chqif,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,2,1,0,Aadchit El-Qoussair,1,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadchit+El-Qoussair,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aadloun,0,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadloun,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Aadoussiyeh,2,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadoussiyeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aafsdiq,0,0,https://dbpedia.org/page/North_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aafsdiq,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
1,,0,0,1,Aain Aanoub,2,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aanoub,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Aain Aarab Rachaya,2,0,https://dbpedia.org/page/Beqaa_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aarab+Rachaya,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Aata,0,0,https://dbpedia.org/page/Beqaa_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aata,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Dara,0,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Dara,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,,1,1,1,Aain Drafil,1,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Drafil,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,2,1,0,Aain Ed-Delb,1,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ed-Delb,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Ed-Delbe,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ed-Delbe,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Ej-Jdideh Aaley,0,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ej-Jdideh+Aaley,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,2,1,0,Aain El Saydeh,3,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El+Saydeh,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain El-Ghouaybeh,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Ghouaybeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,2,1,0,Aain El-Kharroubeh,0,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Kharroubeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain El-Qabu,0,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Qabu,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Er-Rihane,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Er-Rihane,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Er-Roummaneh Aaley,2,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Er-Roummaneh+Aaley,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
2,,1,1,1,Aain Es-Sindiane,1,2,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Es-Sindiane,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Et-Teffaha,0,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Et-Teffaha,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Et-Tineh-Miniyeh,0,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Et-Tineh-Miniyeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Ez-Zeit,1,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ez-Zeit,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Aain Ez-Zeitouneh,1,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ez-Zeitouneh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Fraidis,0,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Fraidis,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Harsha,2,0,https://dbpedia.org/page/Beqaa_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Harsha,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
15,,1,1,1,Aain Ibl,2,2,http://dbpedia.org/resource/Bint_Jbeil_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ibl,0,2,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,5,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,1,Aain Jarfa,0,0,http://dbpedia.org/resource/Hasbaya_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Jarfa,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Jrain,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Jrain,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Kfaa,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Kfaa,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Aain Kfar Zabad,0,0,http://dbpedia.org/resource/ZahlÃ©_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Kfar+Zabad,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Aain Ksour,1,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ksour,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Mouaffaq,0,0,http://dbpedia.org/resource/Baabda_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Mouaffaq,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
2,,0,0,1,Aain Ouzain,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ouzain,0,1,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aain Qana,0,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qana,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Qania,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qania,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
2,,4,1,1,Aain Qinia,0,0,http://dbpedia.org/resource/Hasbaya_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qinia,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,1,0,Aain Saadeh,0,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Saadeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Tinta,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Tinta,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Traz,0,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Traz,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain Yaaqoub,1,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Yaaqoub,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Aain Zebdeh,1,0,http://dbpedia.org/resource/Western_Beqaa_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Zebdeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Aain Zhalta,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Zhalta,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aain challal,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+challal,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aainbal,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aainbal,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,1,Aaita Ej-Jabal,1,0,http://dbpedia.org/resource/Bint_Jbeil_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaita+Ej-Jabal,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aaiyat,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaiyat,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aajaltoun,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aajaltoun,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,1,Aakkar El-Aatiqa,0,1,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aakkar+El-Aatiqa,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Aaley,1,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaley,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,,0,0,1,Aaley Bsatine,1,1,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaley+Bsatine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aali En-Nahri,1,0,http://dbpedia.org/resource/ZahlÃ©_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aali+En-Nahri,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aalma,0,0,http://dbpedia.org/resource/Zgharta_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalma,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aalma Ech-Chaab,0,0,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalma+Ech-Chaab,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aalman,1,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalman,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
1,,0,0,1,Aalmane Ech-Chouf,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalmane+Ech-Chouf,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Aamaret El-Baykat,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamaret+El-Baykat,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
2,,0,0,1,Aamayer,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamayer,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,1,1,https://impact.cib.gov.lb/home#open_data_section,0
12,,0,0,1,Aamchit,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamchit,0,1,1,Impact Open Data,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Aammatour,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aammatour,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
